yorum,sentiment
 Bir film bu kadar mı duygusal bu kadar mı güzel olur.,p
 Bir film için 3 gün üst üste sinemaya gidilir mi?,o
 Bir genç kız gelip Titanik filmini çok sevdiğini söylese anlarım  derim hem Leonardo var  belki aşıktır veya filmdeki aşk hikayesi ona hoş gelmiştir.,o
 Bir millet düşünün ki Dünya da süper güç olmuş ama insanlarının birbirleriyle ilişkilerinde dibe vurmuş bir toplum.,o
 bir yalan gerçeğin ta kendisine nasıl dönüşür?,o
 Biraz daha seçici olmamalılar.,o
 Birbirlerine aşık olan iki kişi.,o
 Birdaha bu olayla ilgili kimse film çekemez.,o
 Biri hepsi  hepsi biri için.,o
 Boğazım yanmaktan kurudu bitti.,o
 Boş zamanınız varsa.,o
 Böyle kaliteli oyuncuların bu tür basit yapımlarda oynamasına bir anlam veremiyorum.,n
 Bu adam daha iyi yerlere gelmeli,p
 Bu arada tartışmada bir filmin iyi olması için illa sıradışı olması gerekmez gibi bir sonuca vardık.,o
 Bu bir baş yapıtdır.,p
 Bu da anlamadığım bir diğer mesele.,o
 Bu da filmin bütün o diğer klasiklerden daha iyi olduğu anlamına geliyor ki bence hiçte değil (mesela Baba  Er Ryan  Leon  Taksi Şoförü  Amelie vs),
 Bu duygunun tam anlamıyla işlendiği bir efsane diyebilirim bu film için.,p
 Bu film gelmiş geçmiş en iyi film bence,p
 bu film insanoğlu varoldukça herzaman hatırlanacaktır.,p
 Bu film izlemeyen yoktur ama izlemeyen mutlaka izlemeli.,p
 Bu filmdeki aşk dillere destan bir aşktır diyenleri anlayamadığım için üzülüyorum  keşke hak verebilseydim.,o
 Bu filme de benzer yorumların yapılmasını dilerdim  ama görünen o ki iş Titaniğe gelince herkes her şeyi unutuyor sanki.,o
 Bu filme hayatımın filmi diyen seyirciler o muhteşem filmleri seyretmedi mi acaba diyorum ama yok seyretmişler besbelli.,o
 bu filmi izlemekle başladı zaten bende bu heves.,p
 Bu filmle Titanik versiyon filmlerine nokta konmuştur.,o
 Bu filmlerde yönetmenlik koltuğunda bir başkası olsa sonuç daha değişik olabilirdi diye düşünüyorum.,o
 bu mahkumu kurtarıp gizli kimliğini ortaya çıkarmak.,o
 Bu sırada Bastille'de neredeyse 10 yıldır yüzü maske ile saklanan bir kişi hapis yatıyor.,o
 Bu yasak aşkı engellemek için elinden geleni ardına koymayan  zengin bir ailenin oğlu.,o
 Buna rağmen fikirleri değişmemiş.,o
 Bundan sonra da böyle bi film izliyeceğimi zannetmiyorum.,p
 bunuda seyredin bide pıerce bronan ın dante yanardağını seyredin.,o
 buyuk bir felaket.,o
 Bütün ihtişamıyla nesilden nesle geçecek bir baş yapıt.,p
 Ceket  pantalon ve gece elbisesine oskar verildiğini ilk kez bu filmde gördük.,o
 cok ahim sahim bir film degil.,o
 cok karizmatik.,p
 Çok daha orijinal olabilirdi bu film.,o
 çok fazla seyretmek adamın ruh sağlığını bile bozabilir.,o
 Çok harika bir yapım olmuş.,p
 çok hüzünlü izle izle ağla.,o
 çölün ortasında bir kasaba  sürekli çıkmaz sokak.,o
 çünkü daha iyisi yapılabilir.,o
 Çünkü zaten izlemeyen yoktur.,p
 Deafalarca izledim ama çok güzel.,p
 Demek ki etki meselesi.,o
 deniz altı bir de o yaratıklar fln :),o
 Devamı gelir.,o
 Doğru. Titaniğin konusunu okuyunca dedim ya çok tipik geliyor bana.,o
 Doğrudur.,o 
 duygusu olan bir insanın gözleri dolması yada ağlamaması imkansız.,o
 Ehh  işte öle bi film  2 arada bi derede cinsinden.,o
 Ehh fazla söze gerek yok bu bana göre iyi bir film oldugunu kanıtlıyor!,p
 Emeği geçen herkese çok çok teşekkür etmek lazım başta büyük usta james cameron a.,p
 en dikkat edici sahne kızın sevdiği erkek için her tehlikeyi göze alarak aşkını kurtarması.,p
 En iyi kostüm dizaynı.,o
 En iyi kurgu ödülü.,p
 En iyi sanat yönetimi ödülü.,p
 En iyi sinematografi (görsellik) Titaniğin görselliğinin ne kadar sıradan olduğunu görmek için Otomatik Portakalı hatırlayın.,o
 evet   ama ne bir başyapıt ne de muhteşem bir film.,o
 Fakat  kimse kusurabakmasın ama birincisi 11 oskar çok ama çok fazla.,p
 Fakir oğlan zengin kız aşkı ne yazık ki gerçekçi değil.,o
 farkı anlayın,o
 Fazlasıyla oturaklı bir film.,p
 fılm gercekten cok guzeldı.,p
 Film  özellikle final sahnesinde  kolay kolay ağlamayan birini bile ağlatır.,o
 film bi harika !,p
 Film bir kasabanın kaybeden değil tüm ABD nin aslında kaybedenler arasında olduğunu gösteriyor.,o
 Film budur bence ayda 1 kere izlenmeli ben 5 kere izledim 100 kere daha izlicem.,p
 Film gerçekten güzel.,p
 Film harika ama ben oyuncular hakkında konuşacağım.,p
 Film val kilmerin karakterinin yüksek kabiliyetiyle etkiliyor ama pek çok ajan filminin yaptığı gibi çok aşırıya kaçıp yücelterek gerçekçilikten uzaklaştırmıyor.,o
 filmde jack ten için ( ona bakabileceğim bir fotoğrafı dahi yok ) dediği sahnede kendimi tutamayıp ağlamıştım.,o
 Filme gelince iki önemli nokta var biri filmin böyle bir felaketin gercekten yasandıgı  ikinicisi ise gerçek aşkın en iyi anlatıldığı bir yapım.,p
 Filmin başındaki köpek-kuyruk muhabbeti de dahiyaneydi.,p
 Filmin etkisini inanılmaz derecede aşılamışlar izleyiciye.,p
 Filmin geçtiği ortamın konu ile bütünleşmiş olarak gerilimi arttırması  ve buna ek olarak çaresizlik duygusunun iyice körüklenmesi filme ayrı bir hava katmış.,o
 flim gösterime girdiğinden beri 11 yıl oldu.,o
 Flim ile görüşüm tabiki 10/10.,p
 gabriel bryne ise dartagnan rolunde super.,p
 Geçen gün siteden acting7 ile bu filmi son kez yeniden tartıştık.,o
 Gemi battıktan sonraki bölümler  yani (çiftin) hayatta kalma çabaları en dokunaklı sahneler.,o
 Gerçekten bu film üstüne yapıt tanımıyorum kim ne derse desin sinema tarihinin en iyi filmidir,p
 gerçekten klostrofobik bir ortam yaratılmış.,o
 güzel bi pazar günü şirin bi film izlemek isteyenler için çok güzel.,p
 güzel müzikler ve manzaralar eşliğinde çok güzel bir suç filmi mutlaka izleyin.,p
 hangi film en güzel seçilmiş bile olsa titanic herzaman başkadır başka kalıcaktır.,p
 Hatta Billy Zane bile (Kurtlar vadisi Kuzey Irakta da züppe Amerikalı rolündeydi) cool ve snopluğu iyi vermiş.,p
 hatta ergen kız filmi.,o
 Hatta yardımcı kaptan  müzisyenler hepsi oynamış.,o
 Hayat boyu hiç bıkmadan izlenebilecek ve hep etkileyecek bir şaheser.,p
 hayatımda izledigim en güzel 3 filmden birisi.,p
 Hayatımda izlediim en etkileyici filmlerden biri 10/10,p
 Hem film  hem de kitabı çok ilgi görmesine ve sevenleri çok olmasına rağmen  birileri çıkıp film basitti  kötüydü  zayıftı vs. diyebiliyor.,o
 her filmi abartmayi birakin en fazla 7/10,o 
 her filmler her yıl en iyi olarak seçilir.,o
 her izlememde ayrı bir tad aldığım artık klasik olmuş bir eser.,p
 her zaman aynı heycanla izlenebilir kim ne derse desin bence gelmiş geçmiş en iyi aşk filmi budur,p
 Hiçbir kargaşaya yer yok.,p
 Hollywoodun aşka bakış açısı işte.,o
 İlk izlediğimde gerçek bir film fragmanı olmadığını da anlamıştım.,o
 imdb 250 listesinde bile bu film yok.,o
 işte böyle tatlı bir film olur.,p
 İşte Titaniğin konusunu okuyunca da ben aynı şeyi düşünüyorum.,o
 iyi bir film ama 10 numara değil bence,p
 İzlediğim en iyi filmlerdendi.,p
 İzlemenizi tavsiye ederim.,p
 izlemeyen kalmışmıdır bilmem ama şiddetle tavsiye ederim.,p
 izlemeyen varsa eğer bir an önce izlemesini öneririm.,p
 izlenebilir mi ?,n
 izlenesi filmlerden bence.,p
 İzlerken sıkılmıyorsunuz ama salondan cıktıgımda '' off canım sıkılıyor bişeyler yapalımmı?,n
 J.Aniston ın hiç mi umut yok diye sorduğu sahnede kıracaktım televizyonu!,o
 james cameron çok nadir film çekmiş ama müthiş çekmiş,p
 James Cameron hem yönetmenlik yapımcılıkta en iyisi.,p
 Jennifer Lopez eh işte diyorum.,n
 kAÇIRMAYIN DERİM.,p
 Kaçmamalı.,p
 Kadınlar ve para birleştiği zaman zaten perişan olmamak mümkün mü :),o
 kahraman kimdir?,o
 kanal dde sürekli verirlerdi.,o
 kate winslet ve leonardo di caprionun aralarındaki yaş farkının çok fazla olmasına rağmen o kadar iyi oynuyorlarki izlerken size hissettirmiyorlar bile.,o
 Kate Winsletin yaşlılığını oynayan Gloria Stuartda rolünün hakkını vermemiş.,p
 kaza ve batma sahneleri iyi planlanmış.,p
 Kesinlikle aldanmayın.,o
 keşke ölmeseydi jack en sonunda onu hatırlayınca çok üzülüyorum ve kendimi geminin içinde hissediyorum ,o
 kısaca başyapıt,p
 Kısaca Titanik bana göre heyecanlı olmayan bir macera filmi  çarpıcı olmayan bir aşk filmi  hiçbir şekilde James Cameron filmine benzemeyen bir James Cameron filmi.,n
 kısacası TİTANİC bu güne kadar izlediğim en güzel film.,p
 kıstası haline geldiği bir kültürel ortamda bu bilerek görmezden gelme tavrına şaşırmamak mı gerekiyor?,o
 kız arkadaşınızla birlikte gitmenizi tavsiye ederim.,o
 konusuda cok iyiydi.,p
 kotu bir film.,n
 Kulağıma çok tipik geliyor.,o
 kusursuz bir film 10,p
 leonardo di caprio olmasaydı ergen kız filmi bile olamazdı.,n
 Leonardo Di Caprio'nun diğer filmleri de güzel ama TİTANİK keinlikle en iyisi)Ayrıca diğerlerine katılıyorum  bence de 9 1 puan çok az ben 10/10 verdim.,p
 Leonardonun bütüm filmleri güzel  izlenmeye değer,p
 Leonardonun bütün filmlerinden bazı bölümler kullanılarak yapılmış bir fragman.,o
 leonardoya oscar vermeyenler bence çekemeyenlerdir.,p
 Lopez olmasa 10 olacaktı.,n
 Lopezi sevmem ama eyi oynamış.,p
 Louis (Leonardo DiCaprio) geçmiş.,o
 Louis ölmüş  yerine kibirli ve acımasız varisi XIV.,n
 Mantık düzeyi de gayet iyi.,p
 Moulin Rouge ile mi karıştırdılar acaba?,o
 Muhteşem gerçekten herşeyiyle müziğiyle  kostümleriyle  kamera ve efekt teknikleriyle sinema tarihine damga vurmuştur.,p
 mukemmel tek kelimeyle,p
 Mutlaka izleyin demeyeceğim.,n
 Mutlaka uğrayın.,o
 Ne aşklar var  gerek bizim edebiyatımızda  gerekse filmlerde  onun için buradaki aşk öylesine bir aşk diye düşünüyorum.,o
 ne desem az gelir mükemmel ötesi bir film.,p
 Ne kadar sıradan değil mi?,o
 Ne söylesem yetmez.,p
 O filmin devamı niteliğinde ama Kaçak'ın yanına pek yaklaşamıyor film.,
 oda eh işte öyle çokda iyi bir film değil,n
 outofcomment  adamım sen filmden anlamıyon bence.,o
 oyuncu kadrosu çok iyi ve başarılı.,p
 oyuncu kadrosuda iyi.,p
 oyuncular ve çekim açıları kendine hayran bırakıyo.,p
 oyuncular zaten harika.,p
 örneğin 3. sınıf yerindeki dicaprionun 1.sınıftaki insanların yanlarına rahatça girmesi anlamsız vb şeyler ama film kesinlikle görülmeye değer.,p
 Özellikle filmin son bir saatini açıklayabilecek bir laf bulamıyorum ve ""işte sinema"" diyorum.,p
 Özellikle sakin kafa ile izlenmesi gereken bir filim.,o
 özellikle the abyss filmi bu filme nazaran çok daha kaliteli ve kurgusu açısından sürükleyici,n
 Penn her zaman ki gibi karizmasını konuşturmuş.,o
 Porthos (Gérard Depardieu)  daha şişman ve yaşlı olsa da  hala eski zamanlardaki büyük savaşları özlüyor.,o
 Puanım 5.",o
 Puanım daha da düştü.,n
 rourke'un oyunculuğu kısa ama filmde akılda kalan belki de en önemli şey!,o
 Sabırsızlıkla bekliyorum .,o
 sadece ben değil arkadaşlarında yorumları aynı oldu.,o
 Sadece d'Artagnan (Gabriel Byrne) silahşörlerin başı olarak krala hizmet ediyor.,p
 Sadece Kate Winslet  rolün altında kalmış.,o
 Sadece zaman geçirmek ve de Tommy Lee Jones için izlenebilir.,n
 sayılacağı bir film demek istiyorum o kadar.,p
 Sean Penn harikulade bir oyunculuk.,p
 Senaryo da yenilir yutulur cinsten.,o
 Senaryo ve kurgu çok iyi.,p
 Sıkılmadan izlenen bir film.,p
 Silahşörler  bir milleti kurtarmak için yeniden birleşip şimdiye kadarki en tehlikeli görevlerini yüklenmek zorundalar :,o
 Silahşörlerin hizmet ettiği büyük kral xIII.,p
 Snipes bu rolleri güzel oyunculukla kotarıyor.,
 Sonra bende gidip filmi kiralayıp yeniden izleyeyim dedim.,o
 sonrasında ne olacagını merak ettıgınız bırcok sahne vardı.,o
 süper oluyo.:),p
 şimdiye kadar 20 kere falan izlemişimdir her izlediğimde de aynı etkiyi bırakmışır bende.,p
 tabi bunun yanında james cameronun rolu cok buyuk.,p
 Tabi ki dev oyuncu kadrosu da cabası.,o
 Tabii ki ben ana fikri hepsinden daha cok beğendim lakin baş rol oyuncularının da performanslarının filmi ateşlediğini söylemeden geçemiyeceğim.,p
 tam 3 saat boyunca sizi koltuklarınıza çiviliyor.,p
 Tam bir zengin züppe rolünü oynamış.,o
 Tam oscarlık.,p
 Tavsiye ederim,p
 Tavsiye edilebilir.,p
 tbrikler,p
 Tek kelimeyle mükemmmel.,p
 Tekrar tekrar izlemek istiyorum.,p
 tekrar tekrar izlerim ve de bıkmam.,p
 Televizyonda gösterilen herhangi bir pembe diziden bir farkı yok filmin yönetim ve görsellik olarak.,o
 TİTANİC e 9 puan verdim bu puanı çok az film e vermişimdir.,o
 Titaniğin kurgusunun ne kadar sıradan olduğunu görmek için Mementoyu hatırlayın.,o
 Tommy Lee Jones ise Kaçak'taki performansından biraz uzak.,
 tv de yayınlanınca bu türüde seviyorsanız izlemelisiniz :)),p
 tvde her oynayışında sıkılmadan yine izliyorum  sayısını hatırlamıyorum.,p
 unutulmaz ve unutulmayacak bir başyapıt.,p
 usta yönetmeni sean penn ve nick nolte de iyi oyunculuğuyla desteklemiş bu arada lopez'de oldukça iyi iş çıkarmış hiç sırıtmıyor filmde,p
 ü sünü izledim o bile gayet iyiydi.,p
 val kilmerin oyunculugu harikaydi bence.,p
 Vasat   yeşilçam havasında büyük bütçeli amerikan filmi.,o
 Ve büyük felaket.,n
 Ve halen bu hatunun sinemada ne işi var diyorum.,n
 ve saygısızlık olur.,o
 ve son derece romantik bir film.,p
 Yaklaşık 3 saatlik olmasına rağmen sıkılmadan zevkle seyrettim.,p
 Yani  hani bir uçak kaçırılır  bir özel tim oluşturulur ve hava korsanlarını etkisiz hale getirmek için harekete geçilir.,o
 yani harison fordun kacağı nerde bu nerde.,o
 Yani yine hatırlatıyorum zevkler ve renkler meselesini ama Leon u  Cesur Yüreği  Er Ryan ı Kurtarmak ı veya 12 Kızgın Adamı izleyen bir insan nasıl olur da bu filmlerin Titanikten daha zayıf olduğunu düşünür?,o
 Yerimden hiç kalkmadan soluksuz izledim.,o
 Yıl 1660 ve Fransa zor günler geçiriyor.,n
 Yine de izlenmese daha iyi olabilecek bir film.,n
 Yine o artık duymaktan bıktığınız şeyi söyleyeceğim  zevkler ve renkler tartışılmaz.,o
 Yorumsuz bırakıyorum.,o
 zaten bi cesur yüreğe bide bu filme hastayım.,p
 zaten ikisinide syreden hemen anlar.,o
 Zengin  kötü kalpli oğlanımızda var.,o
! yorumlara veya oyuncu kadrosuna aldırmayın iğrenç ötesi bir film.,n
!!Sean penn ve Nick Nolte döktürmüş bence :o))",p
!!titanic hayranları titanic 2 geliyor eğer bana inanmıyorsanızzz youtubeye titanic 2 yazın fragmanı çıkacaaakkkk çoook mutluyum yhaaaaaa yazın sinemada olacak ewt Jack donmuş bir vaziyette hayata geri döneceeeeeek yine leonardo dicaprio oynayacak ama magyajla gençleştirecekler benden bu kadar detaylar için bana e-mail atabilirsiniz tabi biliyorsanız!!!!,p
) işte konu bu,o
)yarı şaka yarı ciddi oldu son cümle ama toplumsal hafıza yerlerde sürünüyor.,
.  10 /10dan başka ne verebilirim ki.,p
. Abartıldığı filan yok .,o
. abd de özellikle kamuoyunun ilgisini skandallardan başka yöne çekmek için iktidarın uyguladığı ""spin doctoring"" i çok ince ve hafif alaycı şekilde anlatırken yönetmen mizahi bi anlatımı seçmiş.,o
. Aldığı bütün oscarlarıda sonuna kadar hakeden bir film.,p
. ama bilindiği üzre hiç bi yapım kitabın yerini tutamıyor.,o
. ama daha fazlası yok.,n
. Ama kıyaslanamıcak kadar büyük fark var aralarında .,o
. ancak çok durgun ve sade geçen bi film 4/10,n
. bazı filmler vardır,o
. bence film çok güzeldi.,p
. bence rezalet bi filmdi.,n
. bir diğer gerçek ise 11 oscar a layık olmaması ama yinede izlenmesi gereken güzel bir film,p
. biraz da durum orjinal işte.,o
. Böyle iki oyuncunun bir araya geldiği bir film böylesi sıkıcı olamaz ya.,n
. bu kadar kötü bir krala bu kadar bağlılık fazla diyordum ama öz ve öz oğluymuş.,n
. bu puan bu fiLme qerçeqten çok az.,o
. Film izliyorum diyen birisi varsa önce bu filmi izlemeli :),p
. gerçekten başlı başına bir yapıt,p
. ilk başlarda dartanyanın kralım da kralım demesine bir anlam veremiyordum.,o
. İzledğm en güzel film diyebilirim.,p
. kesinlikle izlenmesi gereken bi film.,p
. kesinlikle izlenmesi gereken bir film",p
. Kraliyet koruyucularının en cesurları ve en iyileri olarak  efsaneleşmiş kahramanlıkları ve tutkularıyla savaştıkları zamanın üzerinden yıllar geçmiş.,o
. kurgusu oyunculukları ve sıradısı sahneleriyle hoş bi filmdi.,p
. Not:Bu filmi izleyipte hiçte korkunç değildi diyen arkadaşlar yalan söylerler adım gibi eminim.,o
. o listeye göre 7.3 almış sıradan bi film bu.,o
. onu öğrenince nedenini anladım.,o
. Sahnelerini saniyesi saniyesine ezbere biliyorum artık ama bidaha izlemektende asla sıkılmayacağım gerçek bir başyapıt.,p
. süperrrrr!!!!,p
. Şoktayım şu an .,o
. Titanic tamamiyle farklı.,p
. veyada bir film 12 sene sonra bile kendine yoru yazdırıyosa puana gerek yok,p
. yağmurlu bir günde sinema sinema dolaşıp köşede sandalye üstünde izlediğim bir film.,o
. zaten doğal afet ile ilgili filmler gittikçe saçma olmaya başladı.,n
.! mükemmeL bir yapıt,p
.",
..,
..,
..,
..,
..,
..  sakın adam sandlerin saç şekline bakıp izlememezlik etmeyin :,o
.. 8 puanlık deil.,n
.. beni ağlatabilen sayılı filmlerden biri.,p
.. bir klasik!,o
.. böyle harika bir konu.,p
.. böyle iyi oyuncular.,p
.. Bu film çıktığında bu kadar etkileyici hangi film varmış?,p
.. Çok bayık bir film olaylar ilerlemek bilmiyor.,n
.. çok kere izlemişimdir.,o
.. diğer filmlerin güzelliğini titaniğe göre yaparım.,p
.. Efektler  oyunculuk.,o
.. eh işte.,o
.. film mükemmelde ve 6 1 çok üzerinde bir puan alması gerekirdi.,p
.. Filmde Drew ile bir numara oluyor.,p
.. herşey muhteşem.,p
.. hiç bir şeyin tükenmedigini bu filmde anlayabilriz,o
.. izlemeyeniniz var mı cidden?:),p
.. Kurtlarla Dans'ta her şey yolunda gitmiş olabilir.,o
.. muhteşem bir film.,p
.. mükemmelin üstünde.,p
.. oyuncuLar da son derece kaLiteLi.,p
.. Son derece sıkıcı.,n
.. sözün bittiği yer,o
.. TİTANİC gelmiş geçmiş en mükemmel film  gerçek bir felaketten esinlenilmiş harika bir eser titanici izlemeye bıkmadım ve bıkmıycam james camerona ayrıca tşkler ediyorum",p
.. yinede güzel bir film.,p
..(İlk kez Leonardo Di Caprio hayranı olmamı sağladı.,p
...    ""Rose tatlım,o
... izlemeyen varsa hala muhakkak izlesin lütfen.,p
... öle bir film işte sıkılarak izlenebilen.,n
.... tekrar tekrar izleyecigim filmler den biri .,o
....postman'in amerikan toplumunun korkularına muhafazakar nitelikli bir cevap olduğu doğru.,o
...eminim filmi tamamlamayanlardır .,o
..ablam sagolsun sayesinde 510321 kere izlemişimdir ama yinede bıkmamıştım.,p
..aldığı 11 oscarın hakettiğinin altında bile olduğu söylenebilir.,p
..-ama bu 56 mustang in radyatör hortumu !,o
..Ama gercekten buna değer.,p
..Ama tür ne olursa olsun tarzında değişiklik yok.,o
..ama usta oyunculara gitmemiş.,n
..aşığım bu filme (:,p
..başyapıt değil belki ancak ben sean penn için izlemiştim filmi ve kurgu  oyunculuk  görüntüler mükemmel  her zaman izlemeye değer.,p
..bence önemli bir bilimkugu idi su dünyası.,o
..Bu adamın yönettiği filmler kendi kulvarında bir numara.,p
..bu film hakkında herhangi bir yorumun olmaması şaşırtıcı.,
..Bu filme o kadar oscar nasil verilmis  hayret dogrusu.,n
..bu filmi begenemyenleri anlayamıorum.,p
..en ufak ayrıntısı bile kaçırılmadan çekilen özenli sahneleriyle ve sizi alıp titanic'in güvertesine götüren harika müzikleriyle başarısı tekrarlanamayacak bir ekol.,p
..filmdeki adamların hepsi insanı katil edecek türden.,o
..filmin ilk yarisinda ""zengin kiz-fakir erkek"" sacmaligiyla tam tamina 1 5 saat kaybediyor seyirci.,n
..gerçek bir aşk.,p
..harika ya ama sinemada izlediğim zevki vermiyo.,p
..Heat ve ilk görüşte aşkta da iyi performans sergiledi.,p
..hem macera hem de gerilim dolu.,p
..herkes filmde iyi iş çıkarmış.,p
..inanılmaz bi aşk hikayesi :(,p
..izlemekten asla bıkmayacağım bir baş yapıt.,p
..İzlemeye hiç gerek yok.,n
..izlemeyen kaldıgını düşünmüyorum ama varsa kesinlikle izlesin.,p
..izleyin diyorum.,p
..-karısını öldürüp hayat sigortasından para almak isteyen bir pisliksin.,o
..kötü olması mümkün mü?,p
..Müziği oyuncuları konusu seyircide bıraktığı izlenim gerçekten çok hoştu.,p
..müzikte süperrrrr,p
..nick nolte ve sean penn arasındaki bir başka diyalog.,o
..Ondan sonra geminin batma sahnesi bence tam bi hayal kirikligi.,n
..Oyuncular  yapmacik rol kesiyorlar  bilhassa Di Caprio.,?
..özellikle o ince senaryosu hoş olmuş.,p
..rezil edecekler filmi,n
..saçma bir konuyu nasılda filim yapmışlar maşallah,n
..sayısız kez seyrettim her defasındada duygu yoğunluğum son safhaya geldi.,p
..seyretmeyen kalmamıştır eminim ama bu film bir başyapıt bence yüzlerce kez seyredilse her defasında ayrı bir haz veriyor.,p
..sınıf farkı kırılıo.,o
..son derece milliyetçi olduğu söylenebilir.,o
..Sonu da çok acıklıydı.,p
..sonuda kötüler cezasını bulur tarzında.,o
..Tüm Dicaprio sevenlerini siteme bekliyorum.,o
.aldığı puanı tam hakediyor.,p
.arkadaş bırak 5 i 250 de yok.,o
.ayrıca sen esaretin bedeli godfather iyi kötü çirkin schindlerin listesiyle mi kıyasladın bu filmi anlayamadım.,o
.batan bir gemiyle birlikte yok olan mutluluk.,o
.Belki nedeni yeni nesilin sinemaya daha çok ilgi göstermesidr.,o
.bır basyapıt gercekten.,p
.bir aşk için kendi cdanını hiçe sayan bir aşığın ve sevdiğinin ölümüyle hayatı boyunca yatağında uyurken ölmeyi bekleyen bir kadının hikayesi.,o
.bir benzeri yok.,p
.çok akıcı eglenceli en sevdiğim olıver stone filmi.,p
.Çok etkilendim,o
.dediğim gibi izleyin.,p
.eve dönerken metroda bile ağlamıştım..:),o
.Evet bu film gerçek bir başyapıt !,p
.filimin gerçek adı u dönüşü.,o
.filmde jack tekrar hayata dönüyor gecmiste olanları öğreniyor vs vs vs iyice suyunu cıkardılar isin.,n
.filmin hepsini dikkatle seyreden izleyici filmin sonunda ne kadr büyük 1 film oldugunu anlar.,p
.fragmanı bile var.,o
.gerçekten çok harika artık replikleri ezberledim ama insan bıkmıyo :),p
.İzlemeyenler arkadaşlara aşırı tavsiyemdir.,p
.izlemeyenlere şiddetle tavsiye ederim.,p
.jean reno ya hasta olmuştum bu filmde.,p
.jennifer bile iyi iş çıkarmış.,p
.kesinlikle cok etkileyici.,o
